Attribute,Nobel Prize for inventing Dynamite,Hot Dog Eating Champion,Nobel Prize for World Peace Org,Published a best-selling series,Won an Emmy,Emmy nomination,Won an Oscar,Oscar nomination,POTUS,Assassinated POTUS,Led a civil war,Survived a nuclear bomb,Invented the nuclear bomb,Vegan awareness,visited every country,Won a spelling bee,Looked into the solar eclipse,Recommended by 9/10 doctors,Raised money for charity,Won a tap dance competition,Can fit so many marshmallows in their mouth,Won bronze in olympics,Got 4th Place in the olympics,Can hold their breath for 2 minutes,Can actually bake a pie,Got baked and ate a whole pie,Flosses every night,Has a good work-life balance,Won a piano competition in the 2nd grade,Won the science fair,Put on a one-man play,Had a sold out out improve show,Can do really cool coffee art,Is above average height,Fired from every job,Respects vegans,Is a vegan,Won a participation trophy
Nobel Prize for inventing Dynamite,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hot Dog Eating Champion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nobel Prize for World Peace Org,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Published a best-selling series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Won an Emmy,0,0,0,0,0,1,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Emmy nomination,0,0,0,0,1,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Won an Oscar,0,0,0,0,0.4,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Oscar nomination,0,0,0,0,0.4,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POTUS,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assassinated POTUS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
