Attribute,Game Developer,Artist,Politician,Businessman,Doctor,Chef,Farmer,Cop,Teacher,Serial Vlogger,Cereal Vlogger,Ghost Handler,Sccounting,Scam Artist,Mob Boss,Professional Job Seeker,Esports Athlete,Captain,Tennis Pro,Actor,Critic,Advisor,Linkedin Influencer,Vet,Youtube Prankster,Water boy,Athlete,Car Salesman,Solicitor,Prophet,Cult Leader,Retail Employee,Olympian,Producer,Manager,Mortician,Venture Capitalist,Cult Follower,Mercenary,Salmon Breeder,Unemployed,Neuclear Plant Worker,Professional GenAI User,Warranty Salesman,Road Rager,Professional Tweeter,Product Reviewer,Butler,Streamer,Professional Brainrotter,Insurance Provider,Cereal Killer
Game Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.2,0,1,0,0,0,0,0,0
Artist,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0.2,0,1,0,0,0,0,0,0
Politician,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2,0,1,0,0,0,0,0,0
Businessman,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,1,0,0,0,0,0,0
Doctor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.2,0,1,0,0,0,0,0,0
Chef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.2,0,1,0,0,0,0,0,0
Farmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.2,0,1,0,0,0,0,0,0
Cop,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2,0,1,0,0,0,0,0,0
Teacher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.2,0,1,0,0,0,0,0,0
Serial Vlogger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.2,0,1,0,0,0,0,0,0
