Attribute,Game Developer,Artist,Politician,Businessman,Doctor,Chef,Farmer,Cop,Teacher,Serial Vlogger,Cereal Vlogger,Ghost Handler,Sccounting,Scam Artist,Mob Boss,Professional Job Seeker,Esports Athlete,Captain,Tennis Pro,Actor,Critic,Advisor,Linkedin Influencer,Vet,Youtube Prankster,Water boy,Athlete,Car Salesman,Solicitor,Prophet,Cult Leader,Retail Employee,Olympian,Producer,Manager,Mortician,Venture Capitalist,Cult Follower,Mercenary,Salmon Breeder,Unemployed,Neuclear Plant Worker,Professional GenAI User,Warranty Salesman,Road Rager,Professional Tweeter,Product Reviewer,Butler,Streamer,Professional Brainrotter,Insurance Provider,Cereal Killer
Game Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Critics are FINE as long as it's Actually Good Criticism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Artist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Critics are FINE as long as it's Actually Good Criticism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#GenAI User Taunts Artist... All Hell Breaks Lose,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Politician,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Youtube Prankster Ruins Politician's Speech... Chaos Ensues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Businessman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Businessman Sick of Extended Warranty Calls Goes Berserk,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Doctor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"#Doctor Fed Up with Youtube Prankster's ""Sick"" Jokes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Chef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Farmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Cop,0,0,0,0,0,0,0,0,0,0,0,0,0,#Cop Meets Scam Artist... Beatdown Occurs,#Mob Boss Comes Face to Face with Cop Archenemy... Heaven-wide Chase Occurs,0,0,0,0,0,0,0,0,0,#Cop Beats Up Youtube Prankster... Goes Viral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Teacher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Youtuber Gets Away with Pranking Teacher... Detention for Life?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Serial Vlogger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
