Attribute,Video Games,Anime,Dogs,Sports,Cooking,Adrenaline,Helping people,Gambling,Crafting,Moose tracks ice cream,Vanilla ice cream,Sorbet,Pissing outdoors,Feeling tall,Power over others,Spoiling movies,Movies,Cereal,Milk,Mint Chocolate Chip ice cream,Needles,Bad legislation,Reading,Really salty chips,Shrimp,Board games,Jump rope,Hell,Trucks,AMERICA 🦅,Space,Scaling things,Being competitive,Their partner,Cats,Heaven,Flirting,Chaos,Overscoping projects,Overly sweet coffee,Sweater Weather,Grass
Video Games,0,0,0,#Major fight ensues when a sport enthusiast said Esports is not a real sport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Wild person spotted running and waving around needles,0,0,0,0,*Board Games > Video Games,0,0,0,0,0,0,0,#Me or the PS5: partners discuss priorites... solution - divorce,0,0,0,0,0,0,0,#Gamers forced to touch grass... proceeds to file lawsuits
Anime,0,0,0,*Sports Anime is Unrealistic,*Cooking Anime is Unrealistic,0,0,0,0,0,0,0,0,0,0,#Plotline of the Hottest Anime Just Spoiled... Riots Ensue,0,0,0,0,#Alert: Suspicious Person Reported Poking Civilians with Needles,0,#Manga vs Anime: Protesters in Heated Argument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Extreme Advocates Cut Off Internet during 'Touch Grass' Campaign... Anime Binge Watchers Enraged
Dogs,0,0,0,0,0,0,*Helping Dogs > Helping People,0,0,0,0,0,0,0,0,0,0,0,0,#Enraged Dog Owner Attacks after Stranger Gives Dog Mint Chocolate Chip Ice Cream,#Stranger Sticks a Needle into Owner's Dog,0,0,0,0,0,0,0,0,0,0,0,0,#Dog Actively Ruining a Couple's Relationships,#Major Fight between Dog and Cat Lovers at City Park,0,0,0,0,0,0,0
Sports,#Major fight ensues when a sport enthusiast said Esports is not a real sport,*Sports Anime is Unrealistic,0,0,0,0,0,0,0,0,0,0,#Fight Occurs after Stranger Pisses all over the Sports Arena,0,0,0,0,*Cereal is the Best Food for Athletes,0,0,#Alert: Suspicious Person Reported Poking Civilians with Needles,0,0,#Athlete Passes Out of Dehydration after Fan Offers really Salty Chips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooking,0,*Cooking Anime is Unrealistic,0,0,0,0,0,0,0,0,0,0,#Stranger Pisses all over the Campfire... Camper Cannot Cook Dinner... Fight Ensues,0,0,0,0,0,0,0,#Person Checks Friend's Temperature with a Temperature Needle while Cooking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#House Burned Down After Chaotic Friend Helps Out in the Kitchen,0,0,0,0
Adrenaline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Needle Person Triggers Victim's Fight Response... Both Critically Injured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helping people,0,0,*Helping Dogs > Helping People,0,0,0,0,0,0,0,0,0,0,0,#What Do You Get When You Place a Person who Helps and a Person who Likes Power in the Same Room... Disaster,0,0,0,0,0,#Good Samaritan Tries Helping Stranger... Gets Stabbed with a Needle Instead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Gambling Individual Gambles with their Life when Meeting the Needle Guy,#Stranger Beaten Up by Gamblers when they Confessing to Passing the Bold Legislative Action that Limits their Gambling Addiction,0,0,0,*Gambling Does Not Belong in Board Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crafting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Skilled Crafter Makes Wooden Needle only to Get Stabbed by their Client,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Arts and Crafts Project Ruined by Chaotic Stranger... Fighting Ensues,*Overscoping is NOT Cool According to Crating Enthusiast,0,0,0
Moose tracks ice cream,0,0,0,0,0,0,0,0,0,0,*Vanilla Ice Cream is too Basic,*Sorbet can NEVER Outflavor Ice Cream,0,0,0,0,0,0,0,#Mint Chocolate Chip Enthusiast Ostracized by the Ice Cream Society of Heaven,#Wild person spotted running and waving around needles,0,0,0,*Shrimp Flavored Ice Cream Goes Hard - Moose Tracks Enthusiast Says,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
